model,provider,edit_type,n,original_accuracy,consistency,gap,status
Qwen/Qwen2.5-VL-7B-Instruct,qwen2_5_vl_7b,remove,31,0.9355,0.0,0.9355,run
Qwen/Qwen2.5-VL-7B-Instruct,qwen2_5_vl_7b,occlude,6,0.8333,0.3333,0.5,run
Qwen/Qwen2.5-VL-7B-Instruct,qwen2_5_vl_7b,displace,54,0.9259,0.2593,0.6667,run
Qwen/Qwen2.5-VL-7B-Instruct,qwen2_5_vl_7b,control_irrelevant,94,,0.8723,,gate_fail
OpenGVLab/InternVL2-8B,internvl_8b,remove,31,0.8065,0.0,0.8065,run
OpenGVLab/InternVL2-8B,internvl_8b,occlude,6,0.8333,0.3333,0.5,run
OpenGVLab/InternVL2-8B,internvl_8b,displace,54,1.0,0.1296,0.8704,run
OpenGVLab/InternVL2-8B,internvl_8b,control_irrelevant,94,,0.9894,,gate_pass
llava-hf/llava-onevision-qwen2-7b-ov-hf,llava_onevision_7b,remove,31,0.7742,0.0968,0.6774,run
llava-hf/llava-onevision-qwen2-7b-ov-hf,llava_onevision_7b,occlude,6,0.8333,0.3333,0.5,run
llava-hf/llava-onevision-qwen2-7b-ov-hf,llava_onevision_7b,displace,54,0.963,0.1481,0.8148,run
llava-hf/llava-onevision-qwen2-7b-ov-hf,llava_onevision_7b,control_irrelevant,94,,0.9681,,gate_pass
