run_id,status,wall_seconds,peak_memory_mb,cpu_io_class,memory_class
baseline_validation,COMPLETED,56.488,506.23,heavy_sequential,medium
repository_kaggle_bundles,ALREADY_VALID,0.0,,archive_io_sequential,medium
wheelhouse_preflight,ALREADY_VALID,0.0,,light,low
snapshot_preflight_qwen,ALREADY_VALID,0.0,,light,low
snapshot_preflight_internvl,ALREADY_VALID,0.0,,light,low
snapshot_preflight_llava,ALREADY_VALID,0.0,,light,low
data_license_overlap_inventory,ALREADY_VALID,0.0,,light,low
first_gpu_wave_return_validation,BLOCKED_BY_GPU_OUTPUT,0.0,,archive_io_sequential,low
real_smoke_preparation,BLOCKED_BY_EXTERNAL_BYTES,0.0,,light,low
pre_smoke_permissions,BLOCKED_BY_UPSTREAM_GATE,0.0,,light,low
confirmatory_source_preparation,BLOCKED_BY_EXTERNAL_BYTES,0.0,,image_processing_sequential,medium
generated_edit_cpu_qa,BLOCKED_BY_GPU_OUTPUT,0.0,,image_processing_sequential,medium
review_packet_preparation,BLOCKED_BY_UPSTREAM_GATE,0.0,,archive_io_sequential,low
exact_selection,BLOCKED_BY_GENUINE_HUMAN_REVIEW,0.0,,light,low
detectability_gate,BLOCKED_BY_UPSTREAM_GATE,0.0,,heavy_sequential,medium
freeze_and_permissions,BLOCKED_BY_UPSTREAM_GATE,0.0,,light,low
process_kaggle_returns,BLOCKED_BY_GPU_OUTPUT,0.0,,archive_io_sequential,medium
statistical_analysis,BLOCKED_BY_UPSTREAM_GATE,0.0,,heavy_sequential,medium
main_cpu_preparation,BLOCKED_BY_UPSTREAM_GATE,0.0,,image_processing_sequential,medium
coco_cpu_preparation,BLOCKED_BY_EXTERNAL_BYTES,0.0,,image_processing_sequential,medium
runtime_upload_map,ALREADY_VALID,0.0,,archive_io_sequential,medium
paper_evidence_and_release,ALREADY_VALID,0.0,,heavy_sequential,medium
refresh_release_lineage,COMPLETED,0.075,506.23,light,low
register_repository_bundles,COMPLETED,0.076,506.23,light,low
final_registry_verification,COMPLETED,0.072,506.23,light,low
