process,true_rate,horizon,t_opt,alpha,iterations,seed,simultaneous_noncoverage_rate,empirical_coverage,monte_carlo_standard_error,upper_three_se,material_undercoverage,method
bernoulli_mean,0.01,60,30,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.01,60,60,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.01,60,120,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,60,30,0.05,20000,12014,5e-05,0.99995,4.999874998437461e-05,0.00019999624995312382,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,60,60,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,60,120,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.5,60,30,0.05,20000,12014,0.00295,0.99705,0.0003834903844948397,0.004100471153484519,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.5,60,60,0.05,20000,12014,0.00035,0.99965,0.0001322644132032498,0.0007467932396097493,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.5,60,120,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.9,60,30,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.9,60,60,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.9,60,120,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.01,120,60,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.01,120,120,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.01,120,240,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,120,60,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,120,120,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,120,240,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.5,120,60,0.05,20000,12014,0.00415,0.99585,0.0004545754887804665,0.0055137264663414,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.5,120,120,0.05,20000,12014,0.00035,0.99965,0.0001322644132032498,0.0007467932396097493,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.5,120,240,0.05,20000,12014,5e-05,0.99995,4.999874998437461e-05,0.00019999624995312382,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.9,120,60,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.9,120,120,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.9,120,240,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.01,240,120,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.01,240,240,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.01,240,480,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,240,120,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,240,240,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
bernoulli_mean,0.1,240,480,0.05,20000,12014,0.0,1.0,0.0,0.0,False,certvic_native_hoeffding_normal_mixture_closed_form
