classifier,repeat,fold,train_n,test_n,source_group_overlap,raw_auc,symmetric_auc,seed,mean_fold_symmetric_auc
logistic_regression,0,1,148,37,0,1.0,1.0,12013,
logistic_regression,0,2,148,37,0,0.9970760233918128,0.9970760233918128,12013,
logistic_regression,0,3,148,37,0,1.0,1.0,12013,
logistic_regression,0,4,148,37,0,1.0,1.0,12013,
logistic_regression,0,5,148,37,0,1.0,1.0,12013,
logistic_regression,0,ALL_OOF,,185,0,0.9990647650222119,0.9990647650222119,12013,0.9994152046783625
logistic_regression,1,1,148,37,0,1.0,1.0,12014,
logistic_regression,1,2,148,37,0,1.0,1.0,12014,
logistic_regression,1,3,148,37,0,0.9970760233918128,0.9970760233918128,12014,
logistic_regression,1,4,148,37,0,1.0,1.0,12014,
logistic_regression,1,5,148,37,0,1.0,1.0,12014,
logistic_regression,1,ALL_OOF,,185,0,0.9983633387888707,0.9983633387888707,12014,0.9994152046783625
logistic_regression,2,1,148,37,0,1.0,1.0,12015,
logistic_regression,2,2,148,37,0,1.0,1.0,12015,
logistic_regression,2,3,148,37,0,1.0,1.0,12015,
logistic_regression,2,4,148,37,0,1.0,1.0,12015,
logistic_regression,2,5,148,37,0,0.9970760233918129,0.9970760233918129,12015,
logistic_regression,2,ALL_OOF,,185,0,0.997311199438859,0.997311199438859,12015,0.9994152046783625
logistic_regression,3,1,148,37,0,1.0,1.0,12016,
logistic_regression,3,2,148,37,0,1.0,1.0,12016,
logistic_regression,3,3,148,37,0,0.9970760233918128,0.9970760233918128,12016,
logistic_regression,3,4,148,37,0,1.0,1.0,12016,
logistic_regression,3,5,148,37,0,1.0,1.0,12016,
logistic_regression,3,ALL_OOF,,185,0,0.9988309562777647,0.9988309562777647,12016,0.9994152046783625
logistic_regression,4,1,148,37,0,1.0,1.0,12017,
logistic_regression,4,2,148,37,0,1.0,1.0,12017,
logistic_regression,4,3,148,37,0,1.0,1.0,12017,
logistic_regression,4,4,148,37,0,1.0,1.0,12017,
logistic_regression,4,5,148,37,0,0.9941520467836258,0.9941520467836258,12017,
logistic_regression,4,ALL_OOF,,185,0,0.9974281038110825,0.9974281038110825,12017,0.9988304093567251
logistic_regression,5,1,148,37,0,1.0,1.0,12018,
logistic_regression,5,2,148,37,0,1.0,1.0,12018,
logistic_regression,5,3,148,37,0,1.0,1.0,12018,
logistic_regression,5,4,148,37,0,1.0,1.0,12018,
logistic_regression,5,5,148,37,0,0.9970760233918129,0.9970760233918129,12018,
logistic_regression,5,ALL_OOF,,185,0,0.9990647650222118,0.9990647650222118,12018,0.9994152046783625
logistic_regression,6,1,148,37,0,1.0,1.0,12019,
logistic_regression,6,2,148,37,0,1.0,1.0,12019,
logistic_regression,6,3,148,37,0,1.0,1.0,12019,
logistic_regression,6,4,148,37,0,0.9970760233918128,0.9970760233918128,12019,
logistic_regression,6,5,148,37,0,1.0,1.0,12019,
logistic_regression,6,ALL_OOF,,185,0,0.9992985737666589,0.9992985737666589,12019,0.9994152046783625
logistic_regression,7,1,148,37,0,0.9970760233918128,0.9970760233918128,12020,
logistic_regression,7,2,148,37,0,1.0,1.0,12020,
logistic_regression,7,3,148,37,0,0.9970760233918128,0.9970760233918128,12020,
logistic_regression,7,4,148,37,0,1.0,1.0,12020,
logistic_regression,7,5,148,37,0,1.0,1.0,12020,
logistic_regression,7,ALL_OOF,,185,0,0.9976619125555295,0.9976619125555295,12020,0.9988304093567251
logistic_regression,8,1,148,37,0,1.0,1.0,12021,
logistic_regression,8,2,148,37,0,0.9941520467836257,0.9941520467836257,12021,
logistic_regression,8,3,148,37,0,0.9970760233918128,0.9970760233918128,12021,
logistic_regression,8,4,148,37,0,1.0,1.0,12021,
logistic_regression,8,5,148,37,0,1.0,1.0,12021,
logistic_regression,8,ALL_OOF,,185,0,0.9985971475333177,0.9985971475333177,12021,0.9982456140350877
logistic_regression,9,1,148,37,0,1.0,1.0,12022,
logistic_regression,9,2,148,37,0,1.0,1.0,12022,
logistic_regression,9,3,148,37,0,0.9970760233918128,0.9970760233918128,12022,
logistic_regression,9,4,148,37,0,1.0,1.0,12022,
logistic_regression,9,5,148,37,0,0.9970760233918128,0.9970760233918128,12022,
