endpoint,true_rate,target_power,minimum_n,search_maximum_n,gate_alpha
semantic_update_success,0.6,0.7,214,2500,0.008333333333333333
semantic_update_success,0.6,0.8,262,2500,0.008333333333333333
semantic_update_success,0.6,0.9,337,2500,0.008333333333333333
semantic_update_success,0.6,0.95,410,2500,0.008333333333333333
semantic_update_success,0.65,0.7,97,2500,0.008333333333333333
semantic_update_success,0.65,0.8,117,2500,0.008333333333333333
semantic_update_success,0.65,0.9,151,2500,0.008333333333333333
semantic_update_success,0.65,0.95,177,2500,0.008333333333333333
semantic_update_success,0.7,0.7,55,2500,0.008333333333333333
semantic_update_success,0.7,0.8,67,2500,0.008333333333333333
semantic_update_success,0.7,0.9,83,2500,0.008333333333333333
semantic_update_success,0.7,0.95,99,2500,0.008333333333333333
semantic_update_success,0.75,0.7,33,2500,0.008333333333333333
semantic_update_success,0.75,0.8,40,2500,0.008333333333333333
semantic_update_success,0.75,0.9,50,2500,0.008333333333333333
semantic_update_success,0.75,0.95,62,2500,0.008333333333333333
semantic_update_success,0.8,0.7,25,2500,0.008333333333333333
semantic_update_success,0.8,0.8,28,2500,0.008333333333333333
semantic_update_success,0.8,0.9,36,2500,0.008333333333333333
semantic_update_success,0.8,0.95,40,2500,0.008333333333333333
irrelevant_flip,0.0,0.7,46,2500,0.008333333333333333
irrelevant_flip,0.0,0.8,46,2500,0.008333333333333333
irrelevant_flip,0.0,0.9,46,2500,0.008333333333333333
irrelevant_flip,0.0,0.95,46,2500,0.008333333333333333
irrelevant_flip,0.01,0.7,66,2500,0.008333333333333333
irrelevant_flip,0.01,0.8,66,2500,0.008333333333333333
irrelevant_flip,0.01,0.9,83,2500,0.008333333333333333
irrelevant_flip,0.01,0.95,100,2500,0.008333333333333333
irrelevant_flip,0.02,0.7,83,2500,0.008333333333333333
irrelevant_flip,0.02,0.8,100,2500,0.008333333333333333
irrelevant_flip,0.02,0.9,115,2500,0.008333333333333333
irrelevant_flip,0.02,0.95,130,2500,0.008333333333333333
irrelevant_flip,0.03,0.7,115,2500,0.008333333333333333
irrelevant_flip,0.03,0.8,130,2500,0.008333333333333333
irrelevant_flip,0.03,0.9,173,2500,0.008333333333333333
irrelevant_flip,0.03,0.95,200,2500,0.008333333333333333
irrelevant_flip,0.05,0.7,253,2500,0.008333333333333333
irrelevant_flip,0.05,0.8,304,2500,0.008333333333333333
irrelevant_flip,0.05,0.9,378,2500,0.008333333333333333
irrelevant_flip,0.05,0.95,451,2500,0.008333333333333333
